,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00268_m,-0.0007331744559503893,-5.890549674372764e-07,5.785657873242875e-13,7.564495292355512e-14,1.7181874384034962e-10,-0.0005987402675916541,2.5648689266328865e-15,4.9018203283881015e-12
EX_cpd00305_m,0.01689401540213762,0.01655152226814015,0.030358554242533118,0.026656530601815234,0.02422151294851821,0.016720309303018134,0.04839037045789012,0.004316925235379476
EX_cpd00322_m,-0.0004061518383113909,-0.0005652275472798738,-0.00043718891588968763,-0.00029791063383365806,-0.0003634974739468377,-0.0008477096829350775,-0.00048005873817851756,-0.0030107186829275135
EX_cpd00266_m,-5.903003167846378e-13,8.970711068087362e-14,9.275237399628467e-15,1.9928939636580918e-14,2.919001262104691e-12,1.1334645230887676e-15,-2.3140864670938896e-14,1.1506174166843855e-13
EX_cpd00540_m,-2.3532140763408203e-12,-0.00023008742546267466,-6.110126130692346e-14,-4.133702071433391e-14,-3.917718366672311e-11,-9.437780244128462e-05,6.221826281134244e-14,-0.0009598577285984193
EX_cpd08305_m,-7.648743314997698e-13,-9.770915581714316e-15,1.7124384537700306e-14,1.9915946844018353e-14,2.921654119038072e-12,-1.061444695345537e-16,-3.198268030475999e-15,4.3851424971840814e-14
EX_cpd10516_m,-9.08762128556321e-17,-1.985332636650239e-06,-2.9210807051344102e-06,-2.3174466069830935e-06,-2.1876538116541132e-06,-9.114863853457233e-06,-1.9736223639921453e-06,-1.258652076211867e-10
EX_cpd00067_m,-0.099101971782363,-1.4127310012176423e-06,0.0,0.0,0.0,-0.6935223353777995,0.0,-3.0699327771302496e-05
EX_cpd00092_m,0.005253311309007875,-0.00039571341993817084,0.005892111726167178,0.03781982580389257,0.005046226424527459,0.0005004000534709532,0.005818719389281022,0.0004930306862640822
EX_cpd00367_m,-0.000810425344424992,-0.0014651589854680624,-0.0006467408688815013,-0.00029317031274511685,-0.0006268738212367175,-0.0008117086161494314,-0.0005432559708054008,-0.0029290260980343596
EX_cpd00249_m,-0.0007982286130578942,-0.0012886982017419335,-0.0005030841991997548,-8.620093605582468e-06,-0.00037089401824719204,-0.0014984514252160963,-0.0005441872771534406,-0.0007361371151983764
EX_cpd00309_m,0.0162145523921185,0.011018700205224385,0.011694842426904759,0.007855632542724256,0.010720330060561098,0.007314671955306842,0.01791325920071596,-0.0003750084425402367
EX_cpd00311_m,-0.0007186272049961029,-0.002032265940560052,-0.00037479024902098423,-0.00011189841278469448,-0.0003329541080341336,-0.0012610524134355483,-0.00019265688388037105,-0.0028243718221963032
EX_cpd00130_m,-0.0002830395285853271,-0.0032873215596209704,-0.0003748362149860185,0.0008530062795273352,-0.00011281172158739139,-0.0015961784595219797,0.00011698676194527025,-0.0010343900095826086
EX_cpd00971_m,-2.8863508028686288e-11,-2.9893074551696818e-12,1.7231852108031615e-11,5.468457752404992e-13,1.0468385140876766e-10,-2.919534192304705e-06,-3.4871578042343487e-13,8.721938177620947e-09
EX_cpd00060_m,-0.00010545957962462402,-0.001424606262696155,-0.00011086379868961164,-8.793088459575817e-05,-9.731410323990519e-05,-0.00034194678707709673,-0.00012603650750992146,-0.010039850669540128
EX_cpd00104_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.694174965265354e-16,2.6265474329167455e-15
EX_cpd00220_m,0.0032992736604206337,0.0024125649048324658,0.004481200035667191,0.004478454772095479,0.005160578524589112,0.002969867905370347,0.008735277214414158,0.0006071581600417959
EX_cpd00084_m,0.0,0.0,0.0,-2.623889626311403e-05,-1.6328401935421134e-05,-0.0004797114230376745,-3.958877243937097e-05,-0.00939616255543759
EX_cpd00069_m,-6.81940375517156e-05,-0.0035015033773277563,-6.936262224446745e-05,-5.422667708105348e-05,-6.895802275095314e-05,-0.00048296973063307496,-0.0001041928723075443,-0.009024690774208857
EX_cpd00066_m,-0.000314858609658205,-0.0003493726033816219,-0.0003411325710830583,-0.00022671325378785935,-0.0002911732059483193,-0.0004215817939021313,-0.0004299850529350969,-0.0067620009716509045
EX_cpd00246_m,-0.0006403341928220563,-0.0022195596305563114,0.0005494039110346405,0.0018170553113232568,0.00016762835797967668,-0.0009423904586260967,6.240876319685285e-05,3.7857521038464625e-05
EX_cpd00182_m,-0.0006814281863191107,-0.00030665257108661303,-0.0003793552781095333,0.00012032292097108321,-0.0003027322238493557,-0.0003995837343401254,-0.00012515424365322492,-0.0027405499603735395
EX_cpd00013_m,-1.3051722951238887,-0.22299170654055267,-0.4647658534364396,-0.4777761717198121,-0.34561506690776245,-0.3335371570129375,-0.7544784401168734,-0.34394976142425326
EX_cpd00020_m,0.0007457122422973583,-0.000955121260432179,0.0016411366735340494,0.005123284917017745,0.001206020363083482,-0.0003357247738704494,0.0006198415684757208,-0.00019156541906539815
EX_cpd00139_m,-0.0009394893394018781,-0.0009047720905478859,-0.0009363540492240311,-0.0009122237671306161,-0.0009058909009120085,-0.0008877656948470418,-0.0009275902475362821,-0.000911952680193607
EX_cpd00029_m,0.0011738793259262758,-0.020215494478891982,-0.04054861312066312,-0.03235461096279563,-0.028098166188304623,0.0008969913270986537,0.002809829819095448,0.0003177759382480383
