Genome	Ctrl_A1	Ctrl_A2	Ctrl_A3	AA_A1	AA_A2	AA_A3	AAAb_A1	AAAb_A2	AAAb_A3	Ctrl_B1	Ctrl_B2	Ctrl_B3	AA_B1	AA_B2	AA_B3	AAAb_B1	AAAb_B2	AAAb_B3	Inoculum
Geobacillus thermodenitrificans  UNIPD6	0.0	0.0	0.0	0.0	0.0	0.0	0.1884026	0.25105906	0.24066892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083428845	0.0	0.0
Lutisporaceae sp. UNIPD17	0.15533641	0.2698189	0.09746729	0.0	0.0682322	0.0	0.0	0.0	0.0	0.06584045	0.0	0.07091714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Limnochordia sp. UNIPD22	0.2041366	0.46557587	0.1701818	0.0	0.0	0.0	0.0	0.0	0.0	0.25586095	0.28694534	0.2554371	0.06453167	0.05931455	0.0	0.08578218	0.0	0.11134132	0.0
Tepidimicrobiaceae sp. UNIPD26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06625733	0.0	0.0	0.0	0.0
Methanothermobacter wolfeii UNIPD21	0.18723114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2128556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096130244
Tepidanaerobacteraceae sp. UNIPD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.120938465	0.0	0.0	0.0	0.3168528	0.0	0.0	0.0
Tepidimicrobiaceae sp. UNIPD23	0.17956609	0.3125483	0.09439994	0.13364865	0.045983706	0.10930986	0.07887784	0.0	0.112388335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06485271	0.0	0.0
Tepidanaerobacteraceae sp. UNIPD32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069074646	0.08307987	0.08202688	0.1666751	0.10691322	0.2867982	0.18150222	0.38434085	0.0	0.0
Pseudoclostridium thermosuccinogenes UNIPD28	0.0	0.34602234	0.10001746	0.0	0.10987466	0.0952932	0.26156792	0.19887216	0.16674544	0.29767057	0.39979756	0.39731455	0.1798332	0.296107	0.15715694	0.3924165	0.75780946	0.22168863	0.0
Tissierellaceae sp. UNIPD12	0.6748673	1.9401119	0.39113948	0.29917416	0.43866292	0.32396945	0.0	0.18544568	1.1885953	0.7370215	0.7898268	0.4533223	0.5266929	0.55436796	0.35722074	0.8985919	0.997277	0.75088817	0.09728812
Peptococcales sp. UNIPD24	0.14595132	1.289736	0.527852	0.441438	0.1193919	1.2945178	1.361569	1.8174473	0.0	0.17691766	0.10610464	0.056213986	0.35471004	0.48130977	0.265481	0.34549657	0.7333738	0.14603348	0.0
Carbobacillus sp. UNIPD11	2.5214307	4.5625896	0.72157836	7.308738	1.2908673	9.847151	6.2592387	6.6588516	5.720861	1.581549	0.26236084	0.20230867	0.8811843	0.1420552	0.9189257	0.49445677	1.075392	0.23726262	0.09260882
Tepidimicrobium xylanilyticum UNIPD19	0.0	0.0	0.0	0.72155356	0.22453521	0.8812888	2.9379828	3.3482502	1.8948803	0.0	0.0	0.0	0.08102066	0.0	0.0	0.11637842	0.16684876	0.10947709	0.0
Bacilli sp. UNIPD10	0.0	0.30570036	0.0	0.0	0.045161527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05977821	0.0	0.0
Methanothermobacter thermautotrophicus UNIPD4	83.550575	71.99628	88.25739	85.87925	87.13108	81.563416	75.4755	76.567	81.56793	89.04226	91.31139	91.23056	89.60231	87.367294	88.31712	85.018585	79.04824	92.41029	98.879654
C.subterraneus UNIPD13	0.285522706	0.99267036	0.32684429000000004	0.37942106	0.63681543	0.28264693	0.39824071	0.35640618999999996	0.28206646	3.3564749000000003	3.0546116999999997	3.2335092000000003	4.2432552999999995	4.2707476	5.360613799999999	3.7794481	7.014313	0.9953689400000001	0.17574654
