Condition	Day	Histidin	Asparagine	Serine	Glutammine	Arginin	Glycine	Aspartic Acid	Glutamic Acid	Threonine	Alanine	GABA	Cysteine	Proline	Ornithine	lysine	Tyrosine	Methionine	Valine	Isoleucine	Leucine	Phenylalanine	Tryptophan
AA-Ab	0	988	4116	5079	6	5887	4674	9474	12021	4572	7483	248	376.7833067	2883	707	4191	1550	1510	12980	5519	13750	5899	1461
Ab	0	771	3973	4814	0	4678	4522	5192	12639	4394	6991	236	28	2865	615	4009	1379	1405	6294	5372	8358	5367	1325
Ab	0	928	4219	4921	0	4924	4448	5387	12285	4343	7313	246	27	2868	630	4116	1530	1594	6643	5483	8152	5783	1429
Ab	0	843	4249	5014	861	5255	4477	5697	12970	4612	7725	253	27	2802	683	4471	1481	1734	6525	5716	8860	6060	1545
Blanck-Ab	0	825	3596	4286	1	5098	3567	5357	12256	4298	7240	221	28	2834	596	4284	1209	1400	6389	5236	8473	5546	1318
Blank-AA	0	766	3632	4019	693	4748	3821	8950	10611	3713	6425	188	472.586099	2475	655	3895	1381	1671	13005	4945	13625	5309	1397
Blank-BES	0	1069	4464	5109	944	5813	4675	4908	11387	4596	7332	190	28.57059259	2677	698	3722	1460	1829	6295	5485	8696	6144	1666
Control	7	0	2	0	2	85	1202	99	636	12	30	299	27	39	0	68	9	6	22	0	19	0	0
Control	7	0	2	6	8	50	1212	161	1250	17	52	317	27	61	0	88	12	5	18	0	20	0	0
Control	7	0	5	22	5	51	1150	129	1431	13	42	452	27	56	0	52	5	5	20	0	19	0	0
AA	7	0	1	14	12	44	1161	154	884	11	9832	175	121.9674765	247	4	72	847	416	7178	1583	3691	1753	0
AA	7	13	14	54	0	42	1280	138	1019	21	10586	201	79.28081731	654	17	62	883	37	8027	2044	4100	1698	0
AA	7	8	0	29	17	38	1153	147	864	12	11871	213	57.29243779	227	12	70	696	309	7325	1769	3598	1577	0
AA-BES	7	6	14	12	42	29	1257	19	50	0	173	143	187.4878319	159	13	44	872	381	110	18	64	831	0
AA-BES	7	15	53	8	103	23	1551	17	175	0	1284	156	246.1694823	135	33	75	876	296	272	81	151	871	0
AA-BES	7	0	19	7	204	20	1481	28	219	0	1531	182	112.4565368	226	11	43	653	376	2215	138	994	618	0
BES	7	8	26	6	0	20	986	44	76	6	18	316	27	157	0	46	9	0	17	0	14	0	0
BES	7												0										
BES	7	0	0	0	0	22	929	28	69	0	12	361	27	133	0	32	17	0	12	0	16	0	0
AA-Ab	7	0	0	0	0	64	961	119	756	0	15378	178	120.383444	229	11	85	821	378	5586	1042	3281	1554	0
AA-Ab	7	0	0	0	0	57	1030	128	968	0	13496	212	59.42865585	309	11	53	715	288	5248	818	2324	1364	0
AA-Ab	7	0	0	0	0	47	956	103	865	0	3492	201	270.9141165	546	6	43	1260	628	4686	1460	3441	2156	0
Ab	7	705	3708	4620	10	4515	4387	5063	12026	4274	7631	247	28	2825	881	4030	1539	1220	6229	5008	7874	5625	697
Ab	7	605	3415	4899	10	4467	4265	5156	12105	4389	7827	249	27	2967	919	4514	1486	1155	6248	5418	8554	5449	656
Ab	7	168	3246	4299	57	3741	3714	5031	12081	3858	6832	247	27	2567	943	4132	1257	1209	5909	5017	7815	4899	623
Blanck-Ab	7	723	3606	4419	14	4820	4136	5275	11864	4050	7803	225	27	2936	606	4068	1420	1228	6468	5219	8061	5323	817
Blank-AA	7												0										
Blank-BES	7	400	3369	4259	12	4720	4028	4929	10789	3894	6918	219	28.61849189	2496	523	3936	1353	1202	5777	5164	8120	5327	1241
Control	21	0	7	13	60	97	845	411	3818	186	75	330	27	210	0	116	36	44	1197	28	45	60	0
Control	21	35	7	13	59	219	1038	549	3361	93	75	325	27	176	0	203	38	18	25	7	34	2	0
Control	21	8	2	0	5	135	900	422	4169	86	40	435	27	96	0	69	30	19	19	4	34	0	0
AA	21	6	0	0	18	108	968	401	3151	41	143	213	97	139	0	115	18	10	24	0	20	0	0
AA	21	15	0	18	73	173	1351	579	4316	70	178	342	197	315	0	157	21	9	23	0	25	0	0
AA	21	10	0	3	26	115	908	368	3397	54	134	228	82	140	0	95	18	11	22	0	28	0	0
AA-BES	21	13	11	34	38	56	1542	89	781	13	5707	196	43.26554973	577	41	136	323	25	320	46	86	194	28
AA-BES	21	12	0	12	61	23	1892	99	186	0	14708	145	63	734	41	52	95	16	265	43	44	101	14
AA-BES	21	38	10	22	22	17	2146	54	457	5	2913	197	62	625	19	113	223	103	652	131	111	166	0
BES	21	0	0	0	0	23	1123	51	109	9	370	340	30	544	1	13	72	28	58	17	29	73	13
BES	21	0	0	40	16	36	991	68	110	14	253	442	27	487	6	11	41	16	30	9	21	24	0
BES	21	0	0	0	24	33	1087	70	101	7	330	396	27	533	3	8	57	31	54	15	25	51	15
AA-Ab	21	2	0	0	47	110	927	357	2526	76	115	205	49	152	0	85	25	24	24	5	26	28	0
AA-Ab	21	19	0	0	26	155	850	462	2776	59	94	227	60	151	0	119	35	18	20	1	17	7	0
AA-Ab	21	14	0	0	22	137	917	471	2679	50	96	246	91	165	0	115	27	10	21	16	28	4	0
Ab	21	499	2885	4797	17	4653	4177	4921	11359	4316	7324	220	26	2844	850	4191	1470	1049	6220	5489	7996	5876	575
Ab	21	578	3648	5692	35	5581	4667	6641	14623	5135	9173	304	14	3611	933	5410	1772	1289	8099	6955	9965	6209	655
Ab	21	603	3206	4563	38	4737	4164	5156	10860	4203	7429	223	27	2756	916	3923	1568	1223	6184	5322	7993	5693	605
Blanck-Ab	21	592	2981	4944	0	5032	4296	5575	11831	4373	7532	226	27	2965	538	4081	1439	1056	6222	5604	8417	5824	757
Blank-AA	21	891	128	185	0	1738	1524	6298	262	1414	3066	192	340.5134665	423	1507	6099	1338	926	9439	2720	8022	3460	1071
Blank-BES	21	358	3009	3783	0	4215	3872	4975	10957	3336	6878	209	27.23193342	2578	413	3423	1251	740	5670	4651	7430	4825	997
